customer_id,rating,rating_date,movie_id,release_year,title,rating_year,set,release_era,avg_rating_of_similar_customers,number_of_similar_customers,rating_x_era_avg
2414149,4,2004-02-29,586,1995,Shanghai Triad,2004,validation,90s and 2000s,5.0,1.0,5.0
1489566,4,2004-03-25,586,1995,Shanghai Triad,2004,validation,90s and 2000s,3.6666666666666665,3.0,3.261954261954262
1596982,4,2002-06-09,586,1995,Shanghai Triad,2002,training,90s and 2000s,3.0,1.0,4.0
1532433,4,2002-07-04,586,1995,Shanghai Triad,2002,training,90s and 2000s,3.261954261954262,0.0,2.0
1078893,4,2002-10-19,586,1995,Shanghai Triad,2002,training,90s and 2000s,3.261954261954262,0.0,3.261954261954262
2426587,2,2004-04-25,586,1995,Shanghai Triad,2004,validation,90s and 2000s,3.261954261954262,0.0,3.261954261954262
1571609,4,2003-08-21,586,1995,Shanghai Triad,2003,training,90s and 2000s,3.261954261954262,0.0,4.0
1337153,3,2004-07-04,586,1995,Shanghai Triad,2004,validation,90s and 2000s,3.261954261954262,0.0,3.261954261954262
428750,5,2004-04-29,586,1995,Shanghai Triad,2004,validation,90s and 2000s,4.0,1.0,5.0
1439770,4,2002-05-17,586,1995,Shanghai Triad,2002,training,90s and 2000s,3.5,2.0,3.261954261954262
1161915,4,2001-07-09,586,1995,Shanghai Triad,2001,training,90s and 2000s,3.261954261954262,0.0,3.0
1127876,3,2003-10-03,586,1995,Shanghai Triad,2003,training,90s and 2000s,4.0,1.0,3.261954261954262
1739440,5,2001-05-23,586,1995,Shanghai Triad,2001,training,90s and 2000s,3.261954261954262,0.0,3.6666666666666665
2115337,4,2004-02-28,586,1995,Shanghai Triad,2004,validation,90s and 2000s,4.0,1.0,3.261954261954262
2315012,1,2004-02-16,586,1995,Shanghai Triad,2004,validation,90s and 2000s,3.261954261954262,0.0,3.261954261954262
462857,3,2003-12-05,586,1995,Shanghai Triad,2003,training,90s and 2000s,3.261954261954262,0.0,3.0
2648869,4,2004-11-14,586,1995,Shanghai Triad,2004,validation,90s and 2000s,3.261954261954262,0.0,3.261954261954262
540807,4,2004-04-13,586,1995,Shanghai Triad,2004,validation,90s and 2000s,3.261954261954262,0.0,3.0
1922996,3,2003-08-12,586,1995,Shanghai Triad,2003,training,90s and 2000s,3.6666666666666665,3.0,4.0
1826742,4,2003-09-11,586,1995,Shanghai Triad,2003,training,90s and 2000s,3.0,1.0,4.0
